set,number,name,cost,unique,level,range,movement,power,hp,quick,type,subtype,effect
BK2,50,Griffith,1R,yes,4,0,1,6,7,no,character,,"When this card is opened, look at the top 3 cards of your deck, then you may set each of those cards in any 1 area of your choice."
BK2,51,Zodd,R,yes,3,0,2,3,3,no,character,,When this card is opened it gains +2/+2 until end of turn
BK2,52,Grunbeld,1R,yes,4,0,1,4,5,no,character,,(Quick) Tap: Target character in this area takes 3 damage. This ability can only be used during combat.
BK2,53,Locus,R,yes,4,1,1,0,3,no,character,,This character gains +3/+0 for every enemy character participating in battle in this area.
BK2,54,Irvine,R,yes,4,3,1,4,5,no,character,,
BK2,55,Rakshas,R,yes,3,0,1,5,3,no,character,,(Quick) Tap: Return this card to your hand.
BK2,56,Sonia,R,yes,1,0,1,0,1,no,character,,While this card is open the area level is 1 higher.
BK2,57,Mule,R,yes,1,0,1,1,2,no,character,,(Quick) Tap: Set this card
BK2,58,World's Rift,R,no,2,,,,,no,Effect,Normal,"When this card is opened, all areas become unoccupied. Draw 2 cards."
BK2,59,Zodd's Onslaught,R,no,4,,,,,no,Effect,Normal,"When this card is opened, select up to 3 set cards within 1 distance and destroy them."
BK2,60,Second Coming of Heroes,R,no,3,,,,,no,Effect,Normal,"When this card is opened, both players discard their hands and draw 7 cards."
BK2,61,Pointed Arrow Battle Formation,R,no,3,,,,,yes,Effect,Normal,You can only open this card if your opponent controls more characters than you in this area. All characters you control gain +3/+2 until the end of combat.
BK2,62,Farewell,R,yes,2,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. Whenever a character you control is destroyed, you may look at the top card of your deck and you may set it in any area."
BK2,63,Blade Oath,RR,no,3,,,,,no,Effect,Normal,"When this card is opened you gain control of a level 2 or lower character in this area. Unlock that character. If you are in battle, remove that character from battle."
BK2,64,Mythical Domain,R,yes,2,,,,,no,Effect,Eternal,"When this card is opened, draw 1 card. The Area Level is increased by 1"
BK3,1,Mercenary,W,no,0,0,1,1,1,no,character,,
BK3,2,Solid Supply Unit,W,no,0,0,1,1,1,no,character,,Support [Green]. This card is treated as a mercenary card during deckbuilding.
BK3,3,Unfortunate Guard,W,no,1,0,0,1,3,no,character,,Support [Green]
BK3,4,Griffith,WW,yes,2,0,1,2,2,no,character,,"When this card is opened, all Hawk characters you control gain +2/+2 until end of turn."
BK3,5,Guts,W,yes,1,0,1,2,2,no,character,,(Quick) 1: This card gains +2/+2 until end of turn. You may only activate this ability if there is an opponents character of level 2 or above in this area.
BK3,6,Casca,W,yes,1,0,1,1,2,no,character,,"(Qucik) 1, Tap: Search your deck for a level 2 of lower Hawk character and open it in any area that you control a Hawk character in. Shuffle your deck. You can only activate this ability if the area level is 3 or higher."
BK3,7,Judeau,W,yes,1,0,1,1,2,no,character,,"When this character is opened, draw 2 cards. Then if you do not occupy this area, discard 2 cards."
BK3,8,Corkus,W,yes,1,0,1,2,2,no,character,,"When this character is opened your opponent discards 1 card. When this card is destroyed, you discard 1 card."
BK3,9,Pippin,W,yes,1,0,1,1,3,no,character,,"Whenever another character you control is opened here, this card gains +1/+1 until end of turn."
BK3,10,Rickert,W,yes,1,1,1,1,2,no,character,,All other characters you control in this area gain +1 range
BK3,11,The View from on High,W,no,1,,,,,yes,Effect,Normal,You can only open this card if you captured this area this turn. Unlock a character you control in this area and draw 2 cards. That character cannot battle the rest of this turn.
BK3,12,Audience with the Minister,W,no,2,,,,,yes,Effect,Normal,You may only open this card if you captured or defended this area this turn. Reveal all enemy set cards within 1 distance and destroy 1 of them. Draw 1 card
BK3,13,Blade's Master and Servant,W,no,2,,,,,yes,Effect,Normal,"If you control both a Guts and Griffith card in play, they gain +3/+3 until end of turn. Draw 1 card"
BK3,14,Scheming Consultation,W,no,2,,,,,no,Effect,Normal,"When this card is opened look at all set cards on the field, then move each of your set cards to any areas (distributed any way) of your choice.  Draw 2 cards."
BK3,15,Determination of the Sword,W,no,2,,,,,no,Effect,Normal,"When this card is opened, search your deck for up to 2 level 1 Hawk characters, reveal them, and then set them in this area. Shuffle your deck."
BK3,16,Quiet Evening,W,no,2,,,,,no,Effect,Normal,"When this card is opened, search your deck for up to 3 Mercenary cards, reveal them, then set each on in an area in which you control a Hawks character. Shuffle your deck. If you control a Griffith character in this area this card is treated as a quick."
BK3,17,Mercenary,G,no,0,0,1,1,1,no,character,,
BK3,18,Guts,G,yes,3,0,1,6,5,no,character,,"(Quick) Alteration. When this character is opened, deal 3 damage to an opponents character in this area. Then deal 1 damage to all other characters here (including this one)"
BK3,19,Casca,G,yes,1,0,1,1,1,no,character,,"This character cannot be targetted by abilities. When this card is destroyed, draw 2 cards."
BK3,20,Farnese,G,yes,1,0,2,1,2,no,character,,"(Quick) Tap: Unlock a character you control in this area that moved here this turn. If a character unlocked this way, draw 1 card. That character cannot move again this turn."
BK3,21,Serpico,G,yes,3,1,1,3,3,no,character,,(Quick) 1: Deal 2 damage to a character participating in battle in this area. This ability can only be used once per turn.
BK3,22,Schierke,G,yes,3,0,1,0,2,no,character,,"When this character is opened, draw 2 cards. (Quick) Tap: Deal 2 damage to all level 2 or lower characters in this area."
BK3,23,Isidro,G,yes,1,1,1,1,2,no,character,,"While you control a Guts character, this card gains +2/+0"
BK3,24,Puck,G,yes,1,0,1,0,1,no,character,,"(Quick) 1: Until the end of turn, reduce damage dealt to target character in this area by 2."
BK3,25,Skull Knight,G,yes,5,0,3,7,9,no,character,,"When this card is opened, search for 1 ""Sword of Actuation"" card form your deck or graveyard and reveal it. Add that card to your hand. Shuffle your deck."
BK3,26,Atonement,G,no,2,,,,,no,Effect,Eternal,(Quick) 1: Set this character.
BK3,27,Dark Magic,G,no,4,,,,,no,Effect,Normal,"When this card is opened, destroy all characters your opponent controls in this area. For each character eliminated this way, eliminate 2 characters you control. Set cards from your hand equal to the amount cards you controlled that were destroyed this way."
BK3,28,Fighting Chance,G,no,2,,,,,no,Effect,Normal,"When this card is opened, target a level 3 or higher character in this area and set it."
BK3,29,Return Blow,G,no,3,,,,,yes,Effect,Normal,"When this card is opened, deal 3 damage to an opponents character in this area that was already dealt damage this turn (this card cannot be opened if a card was not dealt damage). If this card is discarded from your hand by an oppoenents card effect, deal 5 damage to target character"
BK3,30,Sword of Actuation,G,no,5,,,,,yes,Effect,Normal,This card can only be opened if you control a Skull Knight character. Target all level 3 or lower enemy characters within 1 distance and set them. Draw 2  cards.
BK3,31,Light of Hope,G,no,4,,,,,no,Effect,Eternal,When this card is opened draw 1 card. While this card is in place all characters you control that are level 2 or lower gain +2/+2
BK3,32,Master and Pupil,G,no,4,,,,,yes,Effect,Normal,"When this card is opened, shuffle your graveyard back into your deck, then draw 1 card."
BK3,33,Mercenary,B,no,0,0,1,1,1,no,character,,
BK3,34,Crocodile Man,1B,no,2,0,1,3,4,no,character,,"When this character attacks, it gains +1/+0 until end of turn"
BK3,35,Elephant Soldier,1B,no,2,0,1,2,5,no,character,,"When this card defends an area, it gains +0/+1 until end of turn"
BK3,36,Daka,B,no,1,0,1,2,1,no,character,,"When this character is destroyed, your opponent must destroy 1 set card they control of their choice."
BK3,37,Daka,B,no,2,0,1,3,3,no,character,,"When this card is destroyed, destroy a set card you control (mandatory)"
BK3,38,Ganishka,BB,yes,3,0,2,4,5,no,character,,"B: Search your deck or graveyard for 1  ""City Demonization"" card and set it in this area, then open it. If you searched your deck, shuffle it. This ability can only be activated if you occupy this area."
BK3,39,Silat,B,yes,2,0,1,3,2,no,character,,"(Quick) Destroy 1 set card you control here: Choose 1 of the following effects, (1) this character gain +1 range until end of turn or (2) this character gains +1/+0 until end of turn"
BK3,40,Tapasa,B,yes,2,0,1,2,4,no,character,,(Quick): Choose up to 2 set cards you control within 1 distance and return them to you hand. This ability may be only used once each turn.
BK3,41,Fetal Surrounding,B,no,4,,,,,no,Effect,Normal,"When this card is opened, remove all Ogre cards from your graveyard and set them here. All Ogre cards set this way are destroyed at the end of the turn. Draw 1 card"
BK3,42,The Demon City Revealed,B,no,3,,,,,no,Effect,Normal,"When this card is opened, destroy 1 of your character or set cards. If you do, your opponent must eliminate 2 of their characters or set cards in this area. This card gains (Quick) if this area is a Demon City."
BK3,43,City Demonization,B,yes,1,,,,,no,Effect,Eternal,"While you occupy this area, all characters you control gain +2/+2. This area becomes a Demon City in addition to its other types."
BK3,44,Blasphemous Proclamation,B,no,2,,,,,no,Effect,Normal,"When this card is opened, search your opponents library for 2 cards and send them to their graveyard. Then draw 2 cards. This card gains (Quick) if the area is a Demon City."
BK3,45,Daka Factory,B,no,2,,,,,no,Effect,Eternal,"(Quick) B: Search your deck for a ""Daka"" card, reveal it, and set it in this area. Then shuffle. If you occupy this area and this area is a demon city, you may search either your graveyard or deck."
BK3,46,Demon Feast,B,no,3,,,,,no,Effect,Normal,"When this card is opened, unlcok all characters and move them to this area. This card gains (Quick) if you occupy this area and it is a demon city."
BK3,47,Might of the Demon God,B,no,2,,,,,yes,Effect,Normal,"When this card is opened, target an area within 1 distance. During this turn, all combat damage from level 2 or lower characters in that area is reduced to 0. Draw 1 card."
BK3,48,Lightning Strike,B,no,4,,,,,yes,Effect,Normal,"When this card is opened, deal 4 damage divided amongst any number of characters in this area. If you occupy this area and it is a demon city you may instead target characters within 1 distance."
BK3,49,Mercenary,R,no,0,0,1,1,1,no,character,,
BK3,50,Kushan Allegiance,R,no,0,0,1,1,1,no,character,,Support (Black). This card is treated as a mercenary during deckbuilding
BK3,51,Unnerving Demon Army,R,no,2,0,1,1,4,no,character,,Other characters you control in this area have -1/-1
BK3,52,Demon Army Lancer,R,no,3,0,2,4,6,no,character,,"Whenever this character locks, you may destroy 1 of your set cards. If you don't, destroy this card."
BK3,53,Griffith,R,yes,5,0,2,8,8,no,character,,"When this character is opened, return all set cards you control to your hand."
BK3,54,Zodd,1R,yes,4,0,1,6,8,no,character,,"(Quick) Alteration. When this character is opened, you may lock up to 2 target characters in this area."
BK3,55,Grunbeld,R,yes,3,0,1,5,5,no,character,,"(Quick) Alteration. When is character is opened (not as a quick) destroy one of your set cards in this area. When this character is opened using Alteration, it gains +2/+2 permanently"
BK3,56,Locus,1R,yes,4,2,1,7,3,no,character,,(Quick) Alteration. All cavalry characters you control gain +2/+2
BK3,57,Irvine,R,yes,3,3,1,4,2,no,character,,"1, Tap: Deal 2 Damage to a character within 1 distance."
BK3,58,Rakshas,R,yes,3,0,1,3,5,no,character,,(Quick) 1: Set this character.
BK3,59,Borkoff,R,yes,2,0,1,3,5,no,character,,"Whenever this character locks, you may destroy one of your set cards. If you don't, destroy this card."
BK3,60,Charlotte,R,yes,1,0,1,0,1,no,character,,"When this character is opened, look at the top 2 cards of your deck, and set each in an area of your choice. All other characters you control that are in the Royal Capital (if revealed) gain +1/+1"
BK3,61,Storming Entry,R,no,2,,,,,yes,Effect,Normal,You may only open this card if your opponent occupies the area. This area becomes unoccupied. Draw 1 card.
BK3,62,Window of Salvation,R,yes,4,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. Whenever your opponent sets a card from their hand into any area, set the top card of your deck in that area."
BK3,63,Moonlit Truth,R,no,2,,,,,yes,Effect,Normal,You may only open this card if your opponent occupies this area. Look at 3 cards from the top of your deck and set each of them in an area of your choice (doesn't have to be the same area)
BK3,64,Rescue the Princess,R,no,1,,,,,yes,Effect,Normal,"When this card is opened, Negate the effects of all level 1 normals until end of turn"
BK4,1,Mercenary,W,no,0,0,1,1,1,no,character,,
BK4,2,Parading Holy Iron Chain Knights,W,no,0,0,1,0,1,no,character,,
BK4,3,Griffith,WW,yes,2,0,1,4,3,no,character,,
BK4,4,Guts,W,yes,2,0,1,3,3,no,character,,
BK4,5,Guts,W,yes,1,0,1,1,2,no,character,,
BK4,6,Casca,W,yes,2,0,2,2,2,no,character,,
BK4,7,Judeau,W,yes,1,0,1,2,2,no,character,,
BK4,8,Corkus,W,yes,2,0,1,1,1,no,character,,
BK4,9,Pippin,WW,yes,1,0,1,2,3,no,character,,
BK4,10,Rickert,W,yes,1,0,1,1,2,no,character,,
BK4,11,King of Midland,W,yes,2,0,1,0,1,no,character,,
BK4,12,Charlotte,W,yes,1,0,1,0,1,no,character,,
BK4,13,Julius,W,yes,2,0,1,1,2,no,character,,
BK4,14,Farnese,W,yes,1,0,1,1,1,no,character,,
BK4,15,Azan,W,yes,2,0,1,2,4,no,character,,
BK4,16,Serpico,W,yes,2,0,1,3,2,no,character,,
BK4,17,Meeting the Princess,W,no,1,,,,,yes,Effect,Normal,
BK4,18,A Stroke of Luck,W,no,1,,,,,no,Effect,Normal,
BK4,19,Morning of Truth,W,no,1,,,,,yes,Effect,Normal,
BK4,20,Gambit,W,no,2,,,,,yes,Effect,Normal,
BK4,21,Mercenary,G,no,0,0,1,1,1,no,character,,
BK4,22,Golem,G,no,2,0,1,0,5,no,character,,
BK4,23,Guts,1G,yes,3,0,1,6,5,no,character,,
BK4,24,Casca,G,yes,1,0,1,1,1,no,character,,
BK4,25,Schierke,G,yes,2,0,1,0,1,no,character,,
BK4,26,Isidro,G,yes,1,0,1,2,1,no,character,,
BK4,27,Puck,G,yes,1,0,1,0,1,no,character,,
BK4,28,Flora,G,yes,4,0,1,0,2,no,character,,
BK4,29,Skull Knight,G,yes,5,0,2,7,9,no,character,,
BK4,30,Bloodthirsty Impulse,G,no,2,,,,,yes,Effect,Normal,
BK4,31,Unexpected Leap,G,no,1,,,,,no,Effect,Normal,
BK4,32,Moonlit Attack,G,no,3,,,,,no,Effect,Normal,
BK4,33,Time of Contact,GG,no,2,,,,,no,Effect,Normal,
BK4,34,A Peaceful Scene,1GG,no,3,,,,,no,Effect,Normal,
BK4,35,Wind Barrier,G,no,1,,,,,yes,Effect,Normal,
BK4,36,Something to Protect,GG,no,2,,,,,yes,Effect,Normal,
BK4,37,Battle on the Brink,G,no,3,,,,,yes,Effect,Normal,
BK4,38,Berserker Armor,G,yes,3,,,,,no,Effect,Eternal,
BK4,39,Intercepting Sword,G,no,0,,,,,no,Effect,Eternal,
BK4,40,Cannon Burst,G,no,1,,,,,no,Effect,Normal,
BK4,41,Mercenary,B,no,0,0,1,1,1,no,character,,
BK4,42,Evil Spirits of the Night,B,no,1,0,2,0,1,no,character,,
BK4,43,Pursuing Evil Spirits,B,no,1,0,1,0,1,no,character,,
BK4,44,Enclosing Evil Spirits,B,no,1,0,2,1,2,no,character,,
BK4,45,Possessed Pack,B,no,1,0,1,2,1,no,character,,
BK4,46,Possessed Warhorse,BB,no,1,0,2,2,2,no,character,,
BK4,47,Disciple of Mozgus,BB,no,1,0,1,2,1,no,character,,
BK4,48,Kushan Scout,B,no,1,1,2,1,2,no,character,,
BK4,49,Corpses in the Shadows,BBB,no,1,0,1,1,2,no,character,,
BK4,50,Wagon Wheel Corpses,B,no,2,0,1,3,1,no,character,,
BK4,51,Mozgus,B,yes,3,0,1,4,4,no,character,,
BK4,52,Mozgus,1B,yes,2,0,1,4,4,no,character,,
BK4,53,Footsteps of Hell-Fire,B,yes,1,,,,,no,Effect,Eternal,
BK4,54,Revelations of the Reaper,B,yes,1,,,,,no,Effect,Eternal,
BK4,55,Encounter with Refugees,B,no,1,,,,,no,Effect,Eternal,
BK4,56,Spreading Plague,B,no,3,,,,,no,Effect,Normal,
BK4,57,The Only Symbol,B,no,2,,,,,no,Effect,Normal,
BK4,58,Unending Hunger,B,no,0,,,,,no,Effect,Eternal,
BK4,59,Knights' Protection,B,no,3,,,,,no,Effect,Eternal,
BK4,60,Kushan Invasion,B,no,2,,,,,yes,Effect,Normal,
BK4,61,Mercenary,R,no,0,0,1,1,1,no,character,,
BK4,62,Advanving War Demons,R,no,2,0,1,5,2,no,character,,
BK4,63,Griffith,R,yes,4,0,2,6,4,no,character,,
BK4,64,Zodd,R,yes,4,0,2,5,5,no,character,,
BK4,65,Grunbeld,R,yes,4,0,1,4,5,no,character,,
BK4,66,Locus,R,yes,3,2,2,4,2,no,character,,
BK4,67,Irvine,R,yes,3,3,1,2,1,no,character,,
BK4,68,Rakshas,R,yes,3,0,1,5,3,no,character,,
BK4,69,Sonia,R,yes,1,0,2,0,2,no,character,,
BK4,70,The King's Demise,R,no,2,,,,,yes,Effect,Normal,
BK4,71,Hawk of Light,R,no,0,,,,,no,Effect,Eternal,
BK4,72,Mansion in Flames,RR,no,1,,,,,no,Effect,Eternal,
BK4,73,Compulsory Combat,R,no,3,,,,,yes,Effect,Normal,
BK4,74,Giant Counterattack,R,no,3,,,,,yes,Effect,Normal,
BK4,75,Search Orders,R,no,2,,,,,yes,Effect,Normal,
BK4,76,Artillery Preparation,1RR,no,3,,,,,no,Effect,Normal,
BK4,77,Apostle's Question,R,no,2,,,,,no,Effect,Normal,
BK4,78,Diversion Tactic,R,no,1,,,,,yes,Effect,Normal,
BK4,79,The Passage of Time,R,no,2,,,,,no,Effect,Eternal,
BK4,80,Princess' Awakening,R,no,3,,,,,yes,Effect,Normal,
BK5,1,Mercenary,W,no,0,0,1,1,1,no,character,,
BK5,2,Holy Iron Chain Knights Escort,W,no,0,0,1,0,2,no,character,,
BK5,3,Griffith,WW,yes,2,0,1,4,3,no,character,,
BK5,4,Guts,W,yes,2,0,1,2,4,no,character,,
BK5,5,Casca,W,yes,1,0,1,2,2,no,character,,
BK5,6,Judeau,W,yes,1,0,1,2,1,no,character,,
BK5,7,Corkus,W,yes,1,0,1,1,2,no,character,,
BK5,8,Pippin,WW,yes,1,0,1,2,2,no,character,,
BK5,9,Rickert,W,yes,1,1,1,1,2,no,character,,
BK5,10,King of Midland,W,yes,2,0,1,0,1,no,character,,
BK5,11,Charlotte,W,yes,1,0,1,0,1,no,character,,
BK5,12,Farnese,W,yes,1,0,1,1,1,no,character,,
BK5,13,Azan,1W,yes,2,0,1,3,3,no,character,,
BK5,14,Serpico,1W,yes,2,1,1,3,2,no,character,,
BK5,15,Autumn Hunt,W,no,1,,,,,no,Effect,Normal,
BK5,16,Pivot,W,no,1,,,,,yes,Effect,Normal,
BK5,17,Bonding During the Hunt,W,no,2,,,,,no,Effect,Normal,
BK5,18,Lying in Wait,W,no,2,,,,,no,Effect,Normal,
BK5,19,Assassination Attempt,W,no,2,,,,,yes,Effect,Normal,
BK5,20,Surprise Attack,W,no,3,,,,,yes,Effect,Normal,
BK5,21,Mercenary,G,no,0,0,1,1,1,no,character,,
BK5,22,Guts,GG,yes,3,0,1,5,6,no,character,,
BK5,23,Guts,GGGG,yes,3,0,1,7,6,no,character,,
BK5,24,Casca,G,yes,1,0,1,0,2,no,character,,
BK5,25,Farnese,G,yes,1,0,1,1,2,no,character,,
BK5,26,Serpico,1GG,yes,2,0,1,3,3,no,character,,
BK5,27,Schierke,G,yes,2,0,1,0,3,no,character,,
BK5,28,Isidro,G,yes,1,0,1,2,1,no,character,,
BK5,29,Berserker Armor,G,yes,3,,,,,no,Effect,Eternal,
BK5,30,Additional Payment,G,no,3,,,,,no,Effect,Normal,
BK5,31,Lesson in Witchcraft,G,no,1,,,,,no,Effect,Normal,
BK5,32,Knock Down,GG,no,3,,,,,yes,Effect,Normal,
BK5,33,Interupting Slash,G,no,2,,,,,yes,Effect,Normal,
BK5,34,Turbulence of Hatred,GG,no,3,,,,,no,Effect,Normal,
BK5,35,Flora's Talisman,G,no,2,,,,,no,Effect,Normal,
BK5,36,Protective Flame,G,no,3,,,,,yes,Effect,Normal,
BK5,37,Escaping Danger,G,no,2,,,,,yes,Effect,Normal,
BK5,38,Days of Remembrance,G,no,3,,,,,no,Effect,Normal,
BK5,39,Healing Wounds,G,no,3,,,,,no,Effect,Normal,
BK5,40,Newfound Companionship,G,no,1,,,,,no,Effect,Normal,
BK5,41,Mercenary,B,no,0,0,1,1,1,no,character,,
BK5,42,Swarming Spirits of Evil,B,no,1,0,1,1,2,no,character,,
BK5,43,The Approaching Dead,B,no,1,0,2,2,1,no,character,,
BK5,44,Ravenous Pack,B,no,1,0,2,2,1,no,character,,
BK5,45,Disciple of Mozgus,B,no,2,0,1,3,2,no,character,,
BK5,46,Accursed Dead,BB,no,1,0,2,1,2,no,character,,
BK5,47,Mozgus,BB,yes,2,0,1,3,4,no,character,,
BK5,48,Mozgus,BB,yes,3,0,1,4,6,no,character,,
BK5,49,Tapasa,B,yes,2,0,1,1,3,no,character,,
BK5,50,Inquisitors' Merch,B,no,2,,,,,no,Effect,Eternal,
BK5,51,Escort Interception,B,no,2,,,,,yes,Effect,Normal,
BK5,52,Wrath of the Advocate,B,no,1,,,,,no,Effect,Normal,
BK5,53,Display the Punished,BB,no,2,,,,,no,Effect,Normal,
BK5,54,Siege Attack,BB,no,3,,,,,no,Effect,Normal,
BK5,55,Death from Above,B,no,1,,,,,no,Effect,Normal,
BK5,56,Scout Raid,B,no,2,,,,,yes,Effect,Normal,
BK5,57,Combined Offensive,BB,no,3,,,,,yes,Effect,Normal,
BK5,58,The Work of Heretics,B,no,3,,,,,no,Effect,Eternal,
BK5,59,Refugee Camp,B,no,1,,,,,no,Effect,Eternal,
BK5,60,Believer's Duty,B,no,2,,,,,no,Effect,Eternal,
BK5,61,Mercenary,R,no,0,0,1,1,1,no,character,,
BK5,62,Lumias Army Remnants,R,no,1,0,1,1,2,no,character,,
BK5,63,Crawling War Demon,1RR,no,2,0,1,2,4,no,character,,
BK5,64,Coverfire War Demons,1RR,no,2,2,1,5,2,no,character,,
BK5,65,Griffith,R,yes,4,0,1,5,5,no,character,,
BK5,66,Griffith,RR,yes,4,0,1,6,4,no,character,,
BK5,67,Zodd,1RR,yes,3,0,1,5,6,no,character,,
BK5,68,Grunbeld,RR,yes,4,0,1,4,6,no,character,,
BK5,69,Locus,R,yes,3,1,2,4,3,no,character,,
BK5,70,Irvine,R,yes,3,3,1,4,2,no,character,,
BK5,71,Rakshas,R,yes,3,0,2,5,3,no,character,,
BK5,72,Sonia,R,yes,1,0,1,0,1,no,character,,
BK5,73,Mule,R,yes,1,0,1,1,1,no,character,,
BK5,74,Charlotte,R,yes,1,0,1,0,2,no,character,,
BK5,75,Reflecting on Strength,R,no,3,,,,,no,Effect,Normal,
BK5,76,Hawk Messenger,RR,no,4,,,,,no,Effect,Normal,
BK5,77,Rumors of Resistance,R,yes,1,,,,,no,Effect,Eternal,
BK5,78,Melee,R,no,1,,,,,yes,Effect,Normal,
BK5,79,Breath of Fire,1R,no,4,,,,,yes,Effect,Normal,
BK5,80,Pursue,R,no,3,,,,,yes,Effect,Normal,
